mikado.CAAJIE010000906.1G1	STAT1_MOUSE
mikado.CAAJIE010000248.1G1	URP2_BOVIN
mikado.CAAJIE010000548.1G9	ADF1_DROME
mikado.CAAJIE010000832.1G2	SO1A5_RAT
mikado.CAAJIE010000801.1G9	TVB1_MOUSE
mikado.CAAJIE010000917.1G1	RBMS3_PONAB
mikado.CAAJIE010000581.1G1	LRAD4_HUMAN
mikado.CAAJIE010000043.1G1	SBP2L_MOUSE
mikado.CAAJIE010000683.1G1	2A5B_RABIT
mikado.CAAJIE010000273.1G1	NBAS_DANRE
mikado.CAAJIE010000879.1G1	MTBP_XENLA
mikado.CAAJIE010001245.1G1	PTBP3_MOUSE
mikado.CAAJIE010000560.1G22	ABCG2_BOVIN
mikado.CAAJIE010000593.1G1	TLK1_HUMAN
mikado.CAAJIE010000623.1G3	FCRL5_HUMAN
mikado.CAAJIE010000701.1G6	ADA12_HUMAN
mikado.CAAJIE010000811.1G1	TVA7_HUMAN
mikado.CAAJIE010000856.1G2	PAQRA_MOUSE
mikado.CAAJIE010000060.1G6	SGK1_DANRE
mikado.CAAJIE010000692.1G1	KLH18_MOUSE
mikado.CAAJIE010000692.1G2	RTJK_DROFU
mikado.CAAJIE010001126.1G1	TCB2_CAEBR
mikado.CAAJIE010000093.1G49	EFNB2_DANRE
mikado.CAAJIE010000093.1G62	EFNB2_DANRE
mikado.CAAJIE010000533.1G6	PLB1_CAVPO
mikado.CAAJIE010000577.1G1	CH034_DANRE
mikado.CAAJIE010001045.1G2	HD_TAKRU
mikado.CAAJIE010000103.1G1	RXRGB_DANRE
mikado.CAAJIE010001070.1G2	HFE_DICBI
mikado.CAAJIE010000233.1G14	CLC4E_RAT
mikado.CAAJIE010000233.1G15	CLC4M_GORGO
mikado.CAAJIE010000233.1G26	CLC4E_RAT
mikado.CAAJIE010000233.1G27	CLC4M_GORGO
mikado.CAAJIE010000233.1G28	CLC4M_PANTR
mikado.CAAJIE010001004.1G2	CLM8_HUMAN
mikado.CAAJIE010000921.1G6	TMC6_HUMAN
mikado.CAAJIE010000772.1G1	MOG2A_XENLA
mikado.CAAJIE010001028.1G1	TRAF7_HUMAN
mikado.CAAJIE010001128.1G1	MRC1_HUMAN
mikado.CAAJIE010000490.1G16	TGFR2_HUMAN
mikado.CAAJIE010000490.1G19	TCB1_CAEBR
mikado.CAAJIE010000490.1G21	TCB1_CAEBR
mikado.CAAJIE010000224.1G3	STXB_SYNHO
mikado.CAAJIE010001149.1G1	FCG3A_FELCA
mikado.CAAJIE010000602.1G3	SMAP2_MOUSE
mikado.CAAJIE010000261.1G1	TLK1_HUMAN
mikado.CAAJIE010000841.1G1	ACPH_BOVIN
mikado.CAAJIE010000635.1G1	APBB2_MOUSE
mikado.CAAJIE010001242.1G3	MYH6_HUMAN
mikado.CAAJIE010001190.1G3	RTBS_DROME
mikado.CAAJIE010000913.1G2	CFA54_HUMAN
mikado.CAAJIE010000863.1G74	VP13B_HUMAN
mikado.CAAJIE010000863.1G53	VP13B_HUMAN
mikado.CAAJIE010000689.1G5	CFA54_HUMAN
mikado.CAAJIE010000654.1G1	TBCD1_HUMAN
mikado.CAAJIE010001348.1G3	TRI16_HUMAN
mikado.CAAJIE010000031.1G1	CNG3_CHICK
mikado.CAAJIE010001048.1G1	ZN383_MACFA
mikado.CAAJIE010000648.1G1	TRAF7_MOUSE
mikado.1G2	HMGN3_MOUSE
mikado.1G354	MGAP_MOUSE
mikado.1G355	POLX_TOBAC
mikado.1G432	DEK_RAT
mikado.1G490	SPAT7_HUMAN
mikado.1G935	TCB1_CAEBR
mikado.1G948	TF29_SCHPO
mikado.1G1071	BEND6_HUMAN
mikado.1G1076	FHAB_BORPE
mikado.1G1093	HXB5A_DANRE
mikado.1G1108	LORF2_MOUSE
mikado.1G1214	KCNH4_HUMAN
mikado.1G1394	COBA1_MOUSE
mikado.1G2216	HARB1_DANRE
mikado.1G2220	UBP36_HUMAN
mikado.1G2225	TF211_SCHPO
mikado.1G2235	BAHC1_HUMAN
mikado.1G2286	CD22_PANTR
mikado.1G2457	MYH11_CHICK
mikado.CAAJIE010000729.1G3	TAPT1_DANRE
mikado.CAAJIE010000747.1G15	TVB19_HUMAN
mikado.CAAJIE010000813.1G2	SC5AA_PIG
mikado.CAAJIE010000436.1G5	AKP13_MOUSE
mikado.CAAJIE010000244.1G35	ZBED1_HUMAN
mikado.CAAJIE010001013.1G1	CTC1_DANRE
mikado.CAAJIE010001337.1G4	CDKAL_XENLA
mikado.CAAJIE010001337.1G11	DCDC2_HUMAN
mikado.CAAJIE010000864.1G1	RBBP7_DANRE
mikado.CAAJIE010000392.1G1	SNTB1_HUMAN
mikado.CAAJIE010000425.1G14	HUMMR_HUMAN
mikado.CAAJIE010000425.1G16	NAA15_HUMAN
mikado.CAAJIE010000283.1G1	THADA_MOUSE
mikado.CAAJIE010000889.1G1	SDK1_CHICK
mikado.CAAJIE010001129.1G18	CA2D4_HUMAN
mikado.CAAJIE010000660.1G1	MRC1_HUMAN
mikado.CAAJIE010000803.1G2	SGK1_DANRE
mikado.CAAJIE010000558.1G18	YTX1_XENLA
mikado.CAAJIE010000966.1G2	ZMYM1_HUMAN
mikado.CAAJIE010000855.1G1	RORAA_DANRE
mikado.CAAJIE010000461.1G2	SZT2_HUMAN
mikado.CAAJIE010000358.1G1	PKD1_MOUSE
mikado.CAAJIE010000975.1G104	RN216_HUMAN
mikado.CAAJIE010001108.1G11	LRP6_HUMAN
mikado.CAAJIE010000228.1G1	YTX1_XENLA
mikado.CAAJIE010000797.1G1	CASR_HUMAN
mikado.CAAJIE010000512.1G1	RTJK_DROME
mikado.CAAJIE010001151.1G2	STAT1_HUMAN
mikado.CAAJIE010000782.1G137	NLRC3_HUMAN
mikado.CAAJIE010000782.1G274	PEG3_BOVIN
mikado.CAAJIE010000782.1G438	NLRC3_HUMAN
mikado.CAAJIE010000782.1G475	NLRC3_MOUSE
mikado.CAAJIE010000210.1G3	AT8B4_HUMAN
mikado.CAAJIE010000367.1G1	UFO_HUMAN
mikado.CAAJIE010000697.1G1	PTPRF_DANRE
mikado.CAAJIE010000484.1G1	SC5AA_MOUSE
mikado.CAAJIE010000179.1G2	SDK1_CHICK
mikado.CAAJIE010000058.1G1	ERCC3_MOUSE
mikado.CAAJIE010001097.1G1	BICL2_DANRE
mikado.CAAJIE010000944.1G60	HECW2_HUMAN
mikado.CAAJIE010001065.1G2	CFA54_HUMAN
mikado.CAAJIE010000607.1G10	TF3C1_RAT
mikado.CAAJIE010000235.1G1	NRP2_RAT
mikado.CAAJIE010000877.1G3	JADE3_DANRE
mikado.CAAJIE010000877.1G4	JADE3_DANRE
mikado.CAAJIE010000833.1G105	JARD2_DANRE
mikado.CAAJIE010000833.1G109	ZN862_HUMAN
mikado.CAAJIE010001355.1G1	VPS8_HUMAN
mikado.CAAJIE010000751.1G8	DACH1_HUMAN
mikado.CAAJIE010001061.1G2	FIP1_DANRE
mikado.CAAJIE010000665.1G1	CDKAL_XENLA
mikado.CAAJIE010001369.1G3	TVB1_MOUSE
mikado.CAAJIE010001369.1G5	TVB19_HUMAN
mikado.2G45	RTBS_DROME
mikado.2G71	W4931_FUSPC
mikado.2G115	MAG_MOUSE
mikado.2G118	MAG_MOUSE
mikado.2G119	SIGL6_HUMAN
mikado.2G120	MAG_MOUSE
mikado.2G121	MAG_HUMAN
mikado.2G123	SIG12_MOUSE
mikado.2G290	SPICE_XENLA
mikado.2G512	DTX3L_MOUSE
mikado.2G614	Y5729_DICDI
mikado.2G701	DJC13_HUMAN
mikado.2G702	DJC13_HUMAN
mikado.2G841	HARB1_DANRE
mikado.2G926	EPAS1_HUMAN
mikado.2G1310	TLK1_HUMAN
mikado.2G1336	TLK1_HUMAN
mikado.2G1440	UBF1_HUMAN
mikado.3G37	HMGN1_BOVIN
mikado.3G42	PLST_MOUSE
mikado.3G102	ANXA6_HUMAN
mikado.3G179	FUT11_ORYLA
mikado.3G339	IP3KB_RAT
mikado.3G774	AGRG4_HUMAN
mikado.3G912	POL3_DROME
mikado.3G932	S26A2_HUMAN
mikado.3G983	YTX1_XENLA
mikado.3G1433	RTJK_DROFU
mikado.3G1650	PRT1B_HUMAN
mikado.3G1828	CO6A1_CHICK
mikado.3G1931	TWST2_MOUSE
mikado.3G2071	ZYX_CHICK
mikado.3G2078	ARHG5_MOUSE
mikado.3G2137	TMC7_HUMAN
mikado.3G2153	REC8_RAT
mikado.3G2189	ATL4_RAT
mikado.4G24	URGCP_BOVIN
mikado.4G212	CNTLN_MOUSE
mikado.4G254	HARB1_DANRE
mikado.4G289	P2RY8_CHICK
mikado.4G381	ZN239_HUMAN
mikado.4G385	ZO20_XENLA
mikado.4G389	ZG49_XENLA
mikado.4G419	ZG49_XENLA
mikado.4G346	ZN205_BOVIN
mikado.4G574	HERC4_HUMAN
mikado.4G597	LONF1_MOUSE
mikado.4G763	MK01_XENLA
mikado.4G1106	FYB1_RAT
mikado.4G1468	DUSK4_DROME
mikado.4G1500	LADD_ONCMY
mikado.4G1519	PTPRJ_CHICK
mikado.4G1803	MYPT1_DANRE
mikado.4G1850	RTBS_DROME
mikado.4G1886	CCD33_HUMAN
mikado.5G184	APC1_MOUSE
mikado.5G368	OGRL1_MOUSE
mikado.5G478	RTJK_DROFU
mikado.5G564	TRI35_RAT
mikado.5G685	RTBS_DROME
mikado.5G676	WDFY4_MOUSE
mikado.5G824	SPNDC_MOUSE
mikado.5G833	TCB1_CAEBR
mikado.5G954	PEG10_HUMAN
mikado.5G991	NET1_HUMAN
mikado.5G1169	IAN4_ARATH
mikado.5G1304	SLAF9_MOUSE
mikado.5G1366	FRRS1_DANRE
mikado.5G1410	MUC17_HUMAN
mikado.5G1383	IQIP1_MOUSE
mikado.5G1454	SHRM4_MOUSE
mikado.5G1566	ZG57_XENLA
mikado.5G1749	STK26_HUMAN
mikado.6G47	JPH1_HUMAN
mikado.6G95	HARB1_DANRE
mikado.6G172	ADAM9_MOUSE
mikado.6G186	PK1L1_ORYLA
mikado.6G248	AHI1_HUMAN
mikado.6G521	CC106_MOUSE
mikado.6G579	SCRIB_DANRE
mikado.6G611	ESCO1_HUMAN
mikado.6G1186	CEAM1_RAT
mikado.6G1197	CD48_MOUSE
mikado.7G336	HARB1_DANRE
mikado.7G560	RTBS_DROME
mikado.7G686	HARB1_DANRE
mikado.7G678	CELR_CAEEL
mikado.7G914	CL17A_HUMAN
mikado.7G1033	FTM_MOUSE
mikado.8G78	4F2_RABIT
mikado.8G91	RTJK_DROFU
mikado.8G288	PTPRJ_CHICK
mikado.8G363	TM272_HUMAN
mikado.8G621	PKHG4_HUMAN
mikado.8G947	DNAI7_DANRE
mikado.8G948	DNAI7_DANRE
mikado.8G1293	KV401_HUMAN
mikado.8G1294	KV401_HUMAN
mikado.8G1433	HARB1_DANRE
mikado.9G76	NOL6_XENTR
mikado.9G200	ZAN_MOUSE
mikado.9G374	CV015_HUMAN
mikado.9G295	IFT81_MOUSE
mikado.9G314	CC157_BOVIN
mikado.9G479	CABIN_RAT
mikado.9G680	SAP_CHICK
mikado.9G1063	TCB1_CAEBR
mikado.9G1064	UN13B_RAT
mikado.10G21	IF140_HUMAN
mikado.10G18	F234A_MOUSE
mikado.10G580	S38AA_HUMAN
