gid	ontology	goid	desc
mikado.10G1016	MF	0003676	nucleic acid binding
mikado.10G1016	MF	0008270	zinc ion binding
mikado.10G358	BP	0006355	regulation of DNA-templated transcription
mikado.10G358	CC	0005634	nucleus
mikado.10G358	MF	0003677	DNA binding
mikado.10G358	MF	0003700	DNA-binding transcription factor activity
mikado.10G397	BP	0002250	adaptive immune response
mikado.10G397	CC	0016020	membrane
mikado.10G397	MF	0038023	signaling receptor activity
mikado.10G579	BP	0006278	RNA-templated DNA biosynthetic process
mikado.10G579	MF	0003964	RNA-directed DNA polymerase activity
mikado.11G117	BP	0006897	endocytosis
mikado.11G117	CC	0016020	membrane
mikado.11G117	MF	0005044	scavenger receptor activity
mikado.11G140	CC	0005634	nucleus
mikado.11G396	BP	0048513	animal organ development
mikado.11G396	MF	0005509	calcium ion binding
mikado.11G70	MF	0046872	metal ion binding
mikado.12G1168	BP	0006281	DNA repair
mikado.12G1168	MF	0003677	DNA binding
mikado.12G1168	MF	0004527	exonuclease activity
mikado.12G1168	MF	0008270	zinc ion binding
mikado.12G1489	CC	0016020	membrane
mikado.12G1573	BP	0006313	DNA transposition
mikado.12G1573	BP	0015074	DNA integration
mikado.12G1573	MF	0003677	DNA binding
mikado.12G1914	CC	0005634	nucleus
mikado.12G1914	CC	0005737	cytoplasm
mikado.12G1914	CC	0016020	membrane
mikado.12G1914	MF	0016787	hydrolase activity
mikado.12G1914	MF	0046872	metal ion binding
mikado.12G2158	BP	0030837	negative regulation of actin filament polymerization
mikado.12G2158	CC	0016020	membrane
mikado.12G2158	MF	0003779	actin binding
mikado.12G2158	MF	0016791	phosphatase activity
mikado.12G2245	CC	0016020	membrane
mikado.12G2273	CC	0016020	membrane
mikado.12G2289	CC	0016020	membrane
mikado.12G2290	CC	0016020	membrane
mikado.12G2293	BP	0006313	DNA transposition
mikado.12G2293	BP	0015074	DNA integration
mikado.12G2293	BP	0048856	anatomical structure development
mikado.12G2293	MF	0003677	DNA binding
mikado.12G709	CC	0016020	membrane
mikado.12G755	CC	0016020	membrane
mikado.13G1013	MF	0008168	methyltransferase activity
mikado.13G1013	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.13G1044	BP	0032501	multicellular organismal process
mikado.13G1044	BP	0048856	anatomical structure development
mikado.13G1044	CC	0016020	membrane
mikado.13G1044	MF	0005509	calcium ion binding
mikado.13G1108	CC	0016020	membrane
mikado.13G1215	CC	0016020	membrane
mikado.13G1238	BP	0016192	vesicle-mediated transport
mikado.13G1238	CC	0005829	cytosol
mikado.13G1238	CC	0030139	endocytic vesicle
mikado.13G1238	MF	0005085	guanyl-nucleotide exchange factor activity
mikado.13G1238	MF	0005096	GTPase activator activity
mikado.13G1238	MF	0016740	transferase activity
mikado.13G1238	MF	0031267	small GTPase binding
mikado.13G1238	MF	0070403	NAD+ binding
mikado.13G1507	CC	0016020	membrane
mikado.13G1930	MF	0003950	NAD+ ADP-ribosyltransferase activity
mikado.13G2041	BP	0006816	calcium ion transport
mikado.13G2041	BP	0034220	monoatomic ion transmembrane transport
mikado.13G2041	CC	0016020	membrane
mikado.13G2041	MF	0005216	monoatomic ion channel activity
mikado.13G219	MF	0003676	nucleic acid binding
mikado.13G219	MF	0008270	zinc ion binding
mikado.13G316	BP	0006508	proteolysis
mikado.13G316	BP	0035821	modulation of process of another organism
mikado.13G316	CC	0005576	extracellular region
mikado.13G316	CC	0016020	membrane
mikado.13G316	MF	0005509	calcium ion binding
mikado.13G316	MF	0008234	cysteine-type peptidase activity
mikado.13G316	MF	0016740	transferase activity
mikado.13G316	MF	0090729	toxin activity
mikado.13G325	BP	0000278	mitotic cell cycle
mikado.13G325	BP	0007010	cytoskeleton organization
mikado.13G325	BP	0007017	microtubule-based process
mikado.13G325	CC	0005737	cytoplasm
mikado.13G325	CC	0005874	microtubule
mikado.13G325	MF	0003924	GTPase activity
mikado.13G325	MF	0005200	structural constituent of cytoskeleton
mikado.13G325	MF	0005525	GTP binding
mikado.13G325	MF	0046872	metal ion binding
mikado.13G766	BP	0051726	regulation of cell cycle
mikado.13G766	CC	0016020	membrane
mikado.13G907	CC	0016020	membrane
mikado.13G907	MF	0005524	ATP binding
mikado.13G907	MF	0016887	ATP hydrolysis activity
mikado.14G1326	CC	0005634	nucleus
mikado.14G1326	CC	0005737	cytoplasm
mikado.14G1326	CC	0016020	membrane
mikado.14G1326	MF	0016787	hydrolase activity
mikado.14G1326	MF	0046872	metal ion binding
mikado.14G1716	BP	0006397	mRNA processing
mikado.14G1716	BP	0008380	RNA splicing
mikado.14G1716	CC	0005681	spliceosomal complex
mikado.14G1718	BP	0006413	translational initiation
mikado.14G1718	MF	0003743	translation initiation factor activity
mikado.14G1729	CC	0005882	intermediate filament
mikado.14G1729	MF	0005198	structural molecule activity
mikado.14G1757	CC	0005634	nucleus
mikado.14G1757	CC	0005737	cytoplasm
mikado.14G1757	MF	0016787	hydrolase activity
mikado.14G1757	MF	0046872	metal ion binding
mikado.14G1815	BP	0002250	adaptive immune response
mikado.14G1815	CC	0016020	membrane
mikado.14G1815	MF	0038023	signaling receptor activity
mikado.14G1823	CC	0005634	nucleus
mikado.14G1823	CC	0005737	cytoplasm
mikado.14G1823	CC	0016020	membrane
mikado.14G1823	MF	0016787	hydrolase activity
mikado.14G1823	MF	0046872	metal ion binding
mikado.14G195	BP	0006915	apoptotic process
mikado.14G195	BP	0042981	regulation of apoptotic process
mikado.14G1971	CC	0016020	membrane
mikado.14G2099	CC	0016020	membrane
mikado.14G2099	MF	0003824	catalytic activity
mikado.14G2210	BP	0007155	cell adhesion
mikado.14G2210	CC	0005923	bicellular tight junction
mikado.14G2210	CC	0016020	membrane
mikado.14G2210	CC	0071944	cell periphery
mikado.14G2315	BP	0048856	anatomical structure development
mikado.14G2321	CC	0016020	membrane
mikado.14G2398	BP	0048731	system development
mikado.14G2398	CC	0016459	myosin complex
mikado.14G2398	MF	0003774	cytoskeletal motor activity
mikado.14G2398	MF	0003779	actin binding
mikado.14G2398	MF	0005524	ATP binding
mikado.14G239	MF	0019901	protein kinase binding
mikado.14G2430	BP	0006955	immune response
mikado.14G2430	CC	0016020	membrane
mikado.14G2430	MF	0032813	tumor necrosis factor receptor superfamily binding
mikado.14G2462	CC	0016020	membrane
mikado.14G2462	MF	0005525	GTP binding
mikado.14G373	CC	0016020	membrane
mikado.14G430	CC	0016020	membrane
mikado.14G518	CC	0005634	nucleus
mikado.14G518	CC	0005737	cytoplasm
mikado.14G518	CC	0016020	membrane
mikado.14G518	MF	0016787	hydrolase activity
mikado.14G518	MF	0046872	metal ion binding
mikado.14G531	BP	0034340	response to type I interferon
mikado.14G531	BP	0035457	cellular response to interferon-alpha
mikado.14G531	BP	0051607	defense response to virus
mikado.14G531	CC	0005615	extracellular space
mikado.14G531	CC	0005634	nucleus
mikado.14G531	CC	0005737	cytoplasm
mikado.14G531	CC	0016020	membrane
mikado.14G531	MF	0003924	GTPase activity
mikado.14G531	MF	0005525	GTP binding
mikado.14G71	BP	0016567	protein ubiquitination
mikado.14G71	CC	0016020	membrane
mikado.14G71	MF	0046872	metal ion binding
mikado.14G71	MF	0061630	ubiquitin protein ligase activity
mikado.14G73	MF	0003676	nucleic acid binding
mikado.14G73	MF	0008270	zinc ion binding
mikado.14G922	BP	0006508	proteolysis
mikado.14G922	MF	0008236	serine-type peptidase activity
mikado.14G940	BP	0007165	signal transduction
mikado.14G940	BP	0043029	T cell homeostasis
mikado.14G940	BP	0050863	regulation of T cell activation
mikado.14G940	CC	0016020	membrane
mikado.15G1241	BP	0031929	TOR signaling
mikado.15G1241	CC	0031932	TORC2 complex
mikado.15G144	BP	0098609	cell-cell adhesion
mikado.15G144	CC	0016020	membrane
mikado.15G1494	CC	0016020	membrane
mikado.15G1545	CC	0016020	membrane
mikado.15G597	CC	0016020	membrane
mikado.15G696	BP	0030030	cell projection organization
mikado.15G696	CC	0005737	cytoplasm
mikado.15G696	CC	0005929	cilium
mikado.15G865	BP	0035332	positive regulation of hippo signaling
mikado.15G865	CC	0005886	plasma membrane
mikado.15G865	CC	0030054	cell junction
mikado.15G887	CC	0005634	nucleus
mikado.15G887	CC	0005737	cytoplasm
mikado.15G887	CC	0016020	membrane
mikado.15G887	MF	0016787	hydrolase activity
mikado.15G887	MF	0046872	metal ion binding
mikado.15G915	BP	0000209	protein polyubiquitination
mikado.15G915	BP	0006511	ubiquitin-dependent protein catabolic process
mikado.15G915	BP	0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
mikado.15G915	CC	0000151	ubiquitin ligase complex
mikado.15G915	CC	0005737	cytoplasm
mikado.15G915	MF	0008270	zinc ion binding
mikado.15G915	MF	0031624	ubiquitin conjugating enzyme binding
mikado.15G915	MF	0061630	ubiquitin protein ligase activity
mikado.16G1038	CC	0016020	membrane
mikado.16G1111	MF	0003676	nucleic acid binding
