gid	desc
mikado.10G1016	3CxxC-type domain-containing protein (Fragment);Zinc finger CCHC-type containing 24
mikado.10G1038	Translocase of outer mitochondrial membrane 20
mikado.10G21	Intraflagellar transport protein 140 homolog
mikado.10G358	Transcription factor AP-2 C-terminal domain-containing protein
mikado.10G397	Immunoglobulin V-set domain-containing protein
mikado.10G458	Phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein-like isoform X1;UPAR/Ly6 domain-containing protein;Urokinase plasminogen activator surface receptor-like isoform X2
mikado.10G579	Reverse transcriptase domain-containing protein
mikado.10G968	Cadherin-like beta sandwich domain-containing protein
mikado.11G117	Immunoglobulin V-set domain-containing protein;SRCR domain-containing protein;T-cell surface glycoprotein CD5
mikado.11G140	Bromodomain-containing protein 4-like;Serine/arginine repetitive matrix protein 1-like;SET domain-containing protein;Splicing factor, arginine/serine-rich 19-like;Transcript variant X2
mikado.11G205	C2H2-type domain-containing protein;Zinc finger protein 271-like
mikado.11G231	C2H2-type domain-containing protein;Hypermethylated in cancer 1 protein-like;Wilms tumor protein homolog isoform X1;Zinc finger and SCAN domain-containing protein 5B-like
mikado.11G396	EGF-like domain-containing protein;Epidermal growth factor-like protein 6;Nephronectin;Nephronectin-like
mikado.11G447	Centlein;Centlein, centrosomal protein
mikado.11G70	C3H1-type domain-containing protein;Nucleolar and coiled-body phosphoprotein 1-like
mikado.12G100	Reverse transcriptase domain-containing protein
mikado.12G1032	Reverse transcriptase domain-containing protein
mikado.12G1168	SWIM-type domain-containing protein;Transcript variant X1;YqaJ viral recombinase domain-containing protein
mikado.12G1360	Dimethylglycine dehydrogenase (Fragment)
mikado.12G142	Brain abundant, membrane attached signal protein 1;Cell surface glycoprotein 1;Cell surface glycoprotein 1-like;Fibrous sheath CABYR-binding protein-like;Flocculation protein FLO11-like;Proteoglycan 4-like;RII binding domain-containing protein;Serine-aspartate repeat-containing protein I-like;Skin secretory protein xP2-like;VWA domain-containing protein
mikado.12G1489	Arabinogalactan protein 1-like;Fibronectin type III domain-containing protein;Sine oculis-binding protein homolog;Transcript variant X1
mikado.12G1573	Transposable element Tc1 transposase;Transposase Tc1-like domain-containing protein
mikado.12G1622	Pyrin domain-containing protein
mikado.12G1914	DDE Tnp4 domain-containing protein;Nuclease HARBI1 isoform X2
mikado.12G2085	Bicaudal D-related protein 1;Bicaudal-D-related protein 2-like;BICD family-like cargo adapter 1;Fibrous sheath-interacting protein 1;Schwannomin interacting protein 1 C-terminal domain-containing protein
mikado.12G2158	Slingshot protein phosphatase 2
mikado.12G2163	Zinc finger protein 214-like
mikado.12G2273	Reverse transcriptase domain-containing protein
mikado.12G2290	Period circadian protein;T-cell surface protein tactile-like
mikado.12G2293	Transposase
mikado.12G445	Genetic suppressor element-like domain-containing protein
mikado.12G58	PiggyBac transposable element-derived protein 4-like;Putative tick transposon (Fragment)
mikado.12G709	Immunoglobulin subtype domain-containing protein
mikado.12G755	Antigen-presenting glycoprotein CD1d-like;Hereditary hemochromatosis protein homolog;Ig-like domain-containing protein;Immunoglobulin C1-set domain-containing protein;Major histocompatibility complex class I-related gene protein-like;Nonclassical MHC class I antigen (Fragment)
mikado.12G866	KEN domain-containing protein;Putative serine threonine-kinase irlB;Sensor for unfolded proteins in the ER ire1-like;Serine/threonine-protein kinase/endoribonuclease IRE1;Serine/threonine-protein kinase/endoribonuclease IRE1a-like;Serine/threonine-protein kinase/endoribonuclease IRE1-like isoform X3;Serine/threonine-protein kinase/endoribonuclease IRE2;Serine/threonine-protein kinase ppk4-like
mikado.13G1013	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein;Reverse transcriptase domain-containing protein
mikado.13G1044	EGF-like domain-containing protein
mikado.13G1108	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein
mikado.13G1147	Aftiphilin clathrin-binding box domain-containing protein
mikado.13G1215	Reverse transcriptase domain-containing protein
